ID,ID2,GMT_DATE,StudySite,Site,Year,Stage,julian,primeRdRast,SecondRdRast,Open,Decid,Water,Pine,Mix,Shrub,dist_edge,Dist_Access,Dist_Private,total_dist,mean_dist,mean_speed,roost_dist,age,Age,Year_Status,sur,Status,Death,Death_Date,Area50,Area99,dist_core
9518,,6/9/2022,GA,CC,2022,Post_Hunt,,659.4386517,159.0111395,152.776658,52.92263025,1009.692826,21.09342456,59.17832386,155.6753405,128.2970855,619.9712128,131.9579995,3334.795304,72.49555009,222.3196869,26.63981212,2,A,Live,,Live,Live,,NA,NA,NA
9518,,6/10/2022,GA,CC,2022,Post_Hunt,,747.7527573,242.1726154,208.4800343,44.18564762,1593.043072,21.08292894,58.21554918,220.8204651,273.2540555,680.1553089,125.6695355,3000.528275,75.01320689,200.0352184,180.8591207,2,A,Live,,Live,Live,,NA,NA,NA
9518,,6/11/2022,GA,CC,2022,Post_Hunt,,690.0953803,96.94554093,118.8298026,71.06148067,1087.012349,10.31442016,76.74746488,97.90434102,62.65724926,655.8899088,68.26887823,3297.608752,73.28019449,219.8405835,241.0706514,2,A,Live,,Live,Live,,NA,NA,NA
9518,,6/12/2022,GA,CC,2022,Post_Hunt,,704.9451918,213.629457,159.9237679,48.57699657,1557.138488,21.45076652,57.51803724,184.4705131,237.9351493,641.5798577,137.0622705,3992.531775,90.73935852,266.168785,343.5659818,2,A,Live,,Live,Live,,NA,NA,NA
9518,,6/13/2022,GA,CC,2022,Post_Hunt,,268.1303691,177.6917876,155.5093942,33.40566274,1966.337735,28.54105959,59.52919191,158.6852587,114.6230053,264.0596494,146.9312589,2457.753004,72.28685306,163.8502003,182.1159104,2,A,Live,,Live,Live,,NA,NA,NA
9518,,6/14/2022,GA,CC,2022,Post_Hunt,,291.33257,123.6118324,134.8262287,33.98929694,1846.404142,14.55233204,54.49078879,120.263667,72.12830283,284.2389736,43.76075064,1978.847249,47.11541069,131.9231499,172.7736407,2,A,Live,,Live,Live,,NA,NA,NA
9518,,6/15/2022,GA,CC,2022,Post_Hunt,,725.4544889,150.3618288,174.2633616,55.25583062,1428.095926,18.78500284,63.48599014,183.7015535,200.3661162,663.8748916,111.9084103,3376.663509,86.58111561,225.1109006,491.3055409,2,A,Live,,Live,Live,,NA,NA,NA
9518,,6/16/2022,GA,CC,2022,Post_Hunt,,636.8798212,195.1741546,98.91252342,47.30164557,1059.042903,20.89883464,52.95431962,156.9796435,180.6343892,588.1597503,166.3355361,3669.829325,71.95743774,244.6552883,105.8582259,2,A,Live,,Live,Live,,NA,NA,NA
9518,,6/17/2022,GA,CC,2022,Post_Hunt,,646.4242229,101.0458522,144.7628856,36.94261431,956.9151836,26.31243443,49.79786867,96.50062563,63.84843506,626.8538919,118.4404626,3580.082131,76.17196024,238.6721421,136.5313383,2,A,Live,,Live,Live,,NA,NA,NA
9518,,6/18/2022,GA,CC,2022,Post_Hunt,,755.2327169,181.1822901,125.4657197,50.31015808,1443.876661,19.47075728,60.24088679,162.6542108,285.281125,691.7815412,176.6331706,4025.547149,83.8655656,268.3698099,115.4160636,2,A,Live,,Live,Live,,NA,NA,NA
9518,,6/19/2022,GA,CC,2022,Post_Hunt,,673.7529538,197.817666,183.3228468,51.01465316,1537.471459,24.63365404,66.73834964,158.2724791,162.1374539,607.8301009,93.16514118,3609.304394,75.19384154,240.6202929,508.8605097,2,A,Live,,Live,Live,,NA,NA,NA
9518,,6/20/2022,GA,CC,2022,Post_Hunt,,395.0638252,154.7647666,163.9474142,37.12764626,1730.059573,17.67340157,48.89229578,98.44659008,76.28025474,359.5272663,29.67045631,2891.117677,61.51314207,192.7411785,152.8693089,2,A,Live,,Live,Live,,NA,NA,NA
9518,,6/21/2022,GA,CC,2022,Post_Hunt,,676.6219297,167.8965584,154.6537038,53.54035289,1405.480425,15.93618651,58.58829831,158.535069,113.2874279,617.2776492,89.39031081,3833.415753,83.33512507,255.5610502,341.128869,2,A,Live,,Live,Live,,NA,NA,NA
9518,,6/22/2022,GA,CC,2022,Post_Hunt,,751.8561304,197.1967821,117.0406412,58.93318926,1479.345359,18.65561622,55.37884941,190.102783,295.4930508,684.2106454,208.7266973,4179.009847,83.58019695,278.6006565,49.69693442,2,A,Live,,Live,Live,,NA,NA,NA
9518,,6/23/2022,GA,CC,2022,Post_Hunt,,561.570691,74.37194636,104.0791827,52.35262369,1397.933413,16.20692012,54.80175094,95.03862555,72.87884133,509.8615059,25.01403797,3150.384604,67.02945966,210.0256403,29.01716958,2,A,Live,,Live,Live,,NA,NA,NA
9518,,6/24/2022,GA,CC,2022,Post_Hunt,,572.4561228,121.2441509,155.6332301,55.57267957,1566.890302,13.97787296,72.79716186,151.4579035,112.9856328,528.5243869,48.25008199,2758.032494,67.26908521,183.8688329,492.1736222,2,A,Live,,Live,Live,,NA,NA,NA
9518,,6/25/2022,GA,CC,2022,Post_Hunt,,499.9922618,392.7767091,238.0709727,42.78563724,1179.233394,56.66372092,52.95502893,251.3463367,255.1476495,511.355027,159.403579,7620.235927,155.5150189,508.0157285,1427.87362,2,A,Live,,Live,Live,,NA,NA,NA
9518,,6/26/2022,GA,CC,2022,Post_Hunt,,1082.959506,160.1677636,113.2265114,5.982470263,562.5618925,131.3724423,48.55531673,124.0859669,101.2603865,1172.18157,0,2141.059712,54.89896697,142.7373141,294.4510461,2,A,Live,,Live,Live,,NA,NA,NA
9518,,6/27/2022,GA,CC,2022,Post_Hunt,,704.6030032,88.84769066,33.51860097,49.15685913,221.9010416,34.84856187,88.96625759,78.32515323,35.23063819,1521.048221,0,2120.40737,68.40023774,141.3604913,1298.309627,2,A,Live,,Live,Live,,NA,NA,NA
9518,,6/28/2022,GA,CC,2022,Post_Hunt,,302.1223482,146.0228061,104.2092317,18.0901153,298.9015172,51.04755068,53.72437973,151.6242658,61.69675089,1664.138682,0,3309.223174,87.08482037,220.6148783,442.6337959,2,A,Live,,Live,Live,,NA,NA,NA
